season,year,hour,day,count
1,0,5,5,5
1,0,6,5,34
1,0,7,5,84
1,0,8,5,210
1,0,9,5,134
1,0,10,5,63
1,0,11,5,67
1,0,12,5,59
1,0,13,5,73
1,0,14,5,50
1,0,15,5,72
1,0,16,5,87
1,0,17,5,187
1,0,18,5,123
1,0,19,5,95
1,0,20,5,51
1,0,21,5,39
1,0,22,5,36
1,0,23,5,15
1,0,0,6,25
1,0,1,6,16
1,0,2,6,16
1,0,3,6,7
1,0,4,6,1
1,0,5,6,5
1,0,6,6,2
1,0,7,6,9
1,0,8,6,15
1,0,9,6,20
1,0,10,6,61
1,0,11,6,62
1,0,12,6,98
1,0,13,6,102
1,0,14,6,95
1,0,15,6,74
1,0,16,6,76
1,0,17,6,69
1,0,18,6,55
1,0,19,6,30
1,0,20,6,28
1,0,21,6,37
1,0,22,6,34
1,0,23,6,22
1,0,0,0,25
1,0,1,0,12
1,0,2,0,11
1,0,3,0,4
1,0,4,0,1
1,0,5,0,1
1,0,6,0,1
1,0,7,0,6
1,0,8,0,10
1,0,9,0,19
1,0,10,0,49
1,0,11,0,49
1,0,12,0,83
1,0,13,0,75
1,0,14,0,72
1,0,15,0,82
1,0,16,0,92
1,0,17,0,62
1,0,18,0,48
1,0,19,0,41
1,0,20,0,38
1,0,21,0,20
1,0,22,0,15
1,0,23,0,6
1,0,0,1,5
1,0,1,1,1
1,0,2,1,3
1,0,3,1,1
1,0,4,1,3
1,0,5,1,3
1,0,6,1,31
1,0,7,1,77
1,0,8,1,188
1,0,9,1,94
1,0,10,1,31
1,0,11,1,30
1,0,12,1,52
1,0,13,1,54
1,0,14,1,47
1,0,15,1,45
1,0,16,1,74
1,0,17,1,178
1,0,18,1,155
1,0,19,1,95
1,0,20,1,74
1,0,21,1,38
1,0,22,1,24
1,0,23,1,18
1,0,0,2,12
1,0,1,2,3
1,0,2,2,3
1,0,5,2,6
1,0,6,2,27
1,0,7,2,99
1,0,8,2,217
1,0,9,2,130
1,0,10,2,54
1,0,11,2,35
1,0,12,2,57
1,0,13,2,52
1,0,14,2,63
1,0,15,2,47
1,0,16,2,76
1,0,17,2,136
1,0,18,2,95
1,0,19,2,51
1,0,20,2,32
1,0,21,2,20
1,0,22,2,29
1,0,23,2,19
1,0,0,3,7
1,0,1,3,6
1,0,2,3,1
1,0,5,3,5
1,0,6,3,16
1,0,7,3,54
1,0,8,3,128
1,0,9,3,81
1,0,10,3,39
1,0,11,3,35
1,0,12,3,55
1,0,13,3,49
1,0,14,3,44
1,0,15,3,49
1,0,16,3,68
1,0,17,3,139
1,0,18,3,137
1,0,19,3,83
1,0,20,3,56
1,0,21,3,57
1,0,22,3,33
1,0,23,3,20
1,0,0,4,7
1,0,1,4,2
1,0,2,4,2
1,0,3,4,3
1,0,4,4,4
1,0,5,4,3
1,0,6,4,28
1,0,7,4,72
1,0,8,4,202
1,0,9,4,139
1,0,10,4,38
1,0,11,4,37
1,0,12,4,52
1,0,13,4,83
1,0,14,4,42
1,0,15,4,60
1,0,16,4,78
1,0,17,4,162
1,0,18,4,144
1,0,19,4,99
1,0,20,4,64
1,0,21,4,40
1,0,22,4,30
1,0,23,4,15
1,0,0,5,14
1,0,1,5,5
1,0,2,5,1
1,0,3,5,1
1,0,5,5,8
1,0,6,5,17
1,0,7,5,70
1,0,8,5,158
1,0,9,5,117
1,0,10,5,44
1,0,11,5,53
1,0,12,5,61
1,0,13,5,77
1,0,14,5,64
1,0,15,5,68
1,0,16,5,90
1,0,17,5,159
1,0,18,5,139
1,0,19,5,92
1,0,20,5,68
1,0,21,5,52
1,0,22,5,36
1,0,23,5,27
1,0,0,6,28
1,0,1,6,20
1,0,2,6,12
1,0,3,6,8
1,0,4,6,5
1,0,5,6,1
1,0,6,6,3
1,0,7,6,10
1,0,8,6,23
1,0,9,6,33
1,0,10,6,59
1,0,11,6,72
1,0,12,6,89
1,0,13,6,101
1,0,14,6,118
1,0,15,6,129
1,0,16,6,128
1,0,17,6,83
1,0,18,6,84
1,0,19,6,74
1,0,20,6,41
1,0,21,6,57
1,0,22,6,26
1,0,23,6,44
1,0,0,0,39
1,0,1,0,23
1,0,2,0,16
1,0,3,0,15
1,0,4,0,1
1,0,5,0,2
1,0,6,0,1
1,0,7,0,3
1,0,8,0,18
1,0,9,0,32
1,0,10,0,79
1,0,11,0,93
1,0,12,0,104
1,0,13,0,118
1,0,14,0,91
1,0,15,0,113
1,0,16,0,99
1,0,17,0,105
1,0,18,0,67
1,0,19,0,61
1,0,20,0,57
1,0,21,0,28
1,0,22,0,21
1,0,23,0,18
1,0,0,1,17
1,0,1,1,16
1,0,2,1,8
1,0,3,1,2
1,0,4,1,3
1,0,5,1,1
1,0,6,1,5
1,0,7,1,13
1,0,8,1,33
1,0,9,1,47
1,0,10,1,57
1,0,11,1,64
1,0,12,1,80
1,0,13,1,93
1,0,14,1,86
1,0,15,1,93
1,0,16,1,82
1,0,17,1,71
1,0,18,1,92
1,0,19,1,60
1,0,20,1,33
1,0,21,1,27
1,0,22,1,13
1,0,23,1,4
1,0,12,2,3
1,0,13,2,22
1,0,14,2,28
1,0,15,2,35
1,0,16,2,61
1,0,17,2,125
1,0,18,2,133
1,0,19,2,99
1,0,20,2,83
1,0,21,2,41
1,0,22,2,33
1,0,23,2,20
1,0,0,3,3
1,0,1,3,7
1,0,2,3,3
1,0,4,3,2
1,0,5,3,7
1,0,6,3,32
1,0,7,3,90
1,0,8,3,197
1,0,9,3,109
1,0,10,3,47
1,0,11,3,52
1,0,12,3,70
1,0,13,3,78
1,0,14,3,75
1,0,15,3,82
1,0,16,3,104
1,0,17,3,197
1,0,18,3,161
1,0,19,3,112
1,0,20,3,76
1,0,21,3,59
1,0,22,3,59
1,0,23,3,28
1,0,0,4,13
1,0,1,4,5
1,0,2,4,2
1,0,3,4,1
1,0,4,4,1
1,0,5,4,6
1,0,6,4,35
1,0,7,4,101
1,0,8,4,249
1,0,9,4,143
1,0,10,4,57
1,0,11,4,68
1,0,12,4,84
1,0,13,4,98
1,0,14,4,81
1,0,15,4,70
1,0,16,4,91
1,0,17,4,215
1,0,18,4,185
1,0,19,4,152
1,0,20,4,126
1,0,21,4,57
1,0,22,4,56
1,0,23,4,31
1,0,0,5,21
1,0,1,5,6
1,0,2,5,2
1,0,3,5,1
1,0,4,5,1
1,0,5,5,5
1,0,6,5,27
1,0,7,5,68
1,0,8,5,217
1,0,9,5,166
1,0,10,5,63
1,0,11,5,59
1,0,12,5,78
1,0,13,5,73
1,0,14,5,62
1,0,15,5,65
1,0,16,5,97
1,0,17,5,161
1,0,18,5,120
1,0,19,5,96
1,0,20,5,53
1,0,21,5,41
1,0,22,5,34
1,0,23,5,27
1,0,0,6,13
1,0,1,6,12
1,0,2,6,11
1,0,3,6,7
1,0,4,6,3
1,0,6,6,2
1,0,7,6,8
1,0,8,6,27
1,0,9,6,40
1,0,10,6,53
1,0,11,6,63
1,0,12,6,70
1,0,13,6,84
1,0,14,6,75
1,0,15,6,103
1,0,16,6,83
1,0,17,6,67
1,0,18,6,54
1,0,19,6,59
1,0,20,6,45
1,0,21,6,39
1,0,22,6,30
1,0,23,6,33
1,0,0,0,22
1,0,1,0,13
1,0,2,0,18
1,0,3,0,5
1,0,5,0,3
1,0,6,0,1
1,0,7,0,2
1,0,8,0,19
1,0,9,0,28
1,0,10,0,58
1,0,11,0,99
1,0,12,0,116
1,0,13,0,87
1,0,14,0,110
1,0,15,0,77
1,0,16,0,65
1,0,17,0,55
1,0,18,0,49
1,0,19,0,50
1,0,20,0,35
1,0,21,0,25
1,0,22,0,28
1,0,23,0,21
1,0,0,1,7
1,0,1,1,1
1,0,3,1,1
1,0,4,1,1
1,0,5,1,5
1,0,6,1,15
1,0,7,1,84
1,0,8,1,177
1,0,9,1,102
1,0,10,1,40
1,0,11,1,46
1,0,12,1,63
1,0,13,1,60
1,0,14,1,45
1,0,15,1,57
1,0,16,1,70
1,0,17,1,184
1,0,18,1,153
1,0,19,1,106
1,0,20,1,81
1,0,21,1,59
1,0,22,1,35
1,0,23,1,24
1,0,0,2,9
1,0,1,2,5
1,0,2,2,2
1,0,4,2,1
1,0,5,2,9
1,0,6,2,36
1,0,7,2,108
1,0,8,2,238
1,0,9,2,144
1,0,10,2,55
1,0,11,2,61
1,0,12,2,106
1,0,13,2,93
1,0,14,2,68
1,0,15,2,84
1,0,16,2,116
1,0,17,2,222
1,0,18,2,225
1,0,19,2,146
1,0,20,2,119
1,0,21,2,45
1,0,22,2,53
1,0,23,2,40
1,0,0,3,17
1,0,1,3,5
1,0,2,3,10
1,0,5,3,1
1,0,6,3,8
1,0,7,3,30
1,0,8,3,72
1,0,9,3,58
1,0,10,3,28
1,0,11,3,41
1,0,12,3,48
1,0,13,3,47
1,0,14,3,36
1,0,15,3,43
1,0,16,3,36
1,0,17,3,26
1,0,16,4,24
1,0,17,4,84
1,0,18,4,104
1,0,19,4,79
1,0,20,4,59
1,0,21,4,38
1,0,22,4,27
1,0,23,4,16
1,0,0,5,9
1,0,1,5,3
1,0,2,5,2
1,0,3,5,1
1,0,5,5,4
1,0,6,5,16
1,0,7,5,60
1,0,8,5,157
1,0,9,5,101
1,0,10,5,49
1,0,11,5,30
1,0,12,5,29
1,0,13,5,31
1,0,14,5,38
1,0,15,5,41
1,0,16,5,80
1,0,17,5,149
1,0,18,5,109
1,0,19,5,89
1,0,20,5,62
1,0,21,5,58
1,0,22,5,26
1,0,23,5,23
1,0,0,6,28
1,0,1,6,20
1,0,2,6,15
1,0,3,6,8
1,0,4,6,3
1,0,6,6,2
1,0,7,6,5
1,0,8,6,34
1,0,9,6,34
1,0,10,6,55
1,0,11,6,64
1,0,12,6,78
1,0,13,6,65
1,0,14,6,99
1,0,15,6,120
1,0,16,6,107
1,0,17,6,91
1,0,18,6,68
1,0,19,6,58
1,0,20,6,43
1,0,21,6,36
1,0,22,6,32
1,0,23,6,33
1,0,0,0,33
1,0,1,0,29
1,0,2,0,11
1,0,3,0,8
1,0,4,0,1
1,0,5,0,3
1,0,7,0,3
1,0,8,0,12
1,0,9,0,38
1,0,10,0,64
1,0,11,0,59
1,0,12,0,97
1,0,13,0,84
1,0,14,0,122
1,0,15,0,109
1,0,16,0,123
1,0,17,0,77
1,0,18,0,65
1,0,19,0,55
1,0,20,0,33
1,0,21,0,28
1,0,22,0,21
1,0,23,0,21
1,0,0,1,7
1,0,1,1,7
1,0,2,1,1
1,0,3,1,2
1,0,4,1,2
1,0,5,1,8
1,0,6,1,37
1,0,7,1,72
1,0,8,1,185
1,0,9,1,112
1,0,10,1,69
1,0,11,1,48
1,0,12,1,68
1,0,13,1,54
1,0,14,1,86
1,0,15,1,44
1,0,16,1,86
1,0,17,1,161
1,0,18,1,156
1,0,19,1,111
1,0,20,1,78
1,0,21,1,56
1,0,22,1,34
1,0,23,1,17
1,0,0,2,8
1,0,1,2,3
1,0,2,2,2
1,0,3,2,2
1,0,5,2,3
1,0,6,2,22
1,0,7,2,52
1,0,8,2,135
1,0,9,2,116
1,0,10,2,47
1,0,11,2,51
1,0,12,2,55
1,0,13,2,52
1,0,14,2,54
1,0,15,2,52
1,0,16,2,64
1,0,17,2,176
1,0,18,2,168
1,0,19,2,108
1,0,20,2,74
1,0,21,2,64
1,0,22,2,36
1,0,23,2,16
1,0,0,3,2
1,0,1,3,3
1,0,2,3,4
1,0,3,3,1
1,0,4,3,1
1,0,5,3,3
1,0,6,3,18
1,0,7,3,49
1,0,8,3,155
1,0,9,3,123
1,0,10,3,61
1,0,11,3,52
1,0,12,3,64
1,0,13,3,75
1,0,14,3,63
1,0,15,3,76
1,0,16,3,103
1,0,17,3,190
1,0,18,3,182
1,0,19,3,91
1,0,20,3,75
1,0,21,3,63
1,0,22,3,40
1,0,23,3,32
1,0,0,4,12
1,0,1,4,5
1,0,2,4,2
1,0,3,4,1
1,0,5,4,2
1,0,6,4,39
1,0,7,4,87
1,0,8,4,188
1,0,9,4,133
1,0,10,4,52
1,0,11,4,64
1,0,12,4,69
1,0,13,4,51
1,0,14,4,47
1,0,15,4,60
1,0,16,4,78
1,0,17,4,175
1,0,18,4,147
1,0,19,4,96
1,0,20,4,109
1,0,21,4,54
1,0,22,4,41
1,0,23,4,38
1,0,0,5,13
1,0,1,5,7
1,0,2,5,1
1,0,3,5,1
1,0,5,5,7
1,0,6,5,28
1,0,7,5,87
1,0,8,5,220
1,0,9,5,127
1,0,10,5,51
1,0,11,5,64
1,0,12,5,86
1,0,13,5,82
1,0,14,5,91
1,0,15,5,90
1,0,16,5,99
1,0,17,5,205
1,0,18,5,155
1,0,19,5,103
1,0,20,5,71
1,0,21,5,43
1,0,22,5,46
1,0,23,5,31
1,0,0,6,39
1,0,1,6,18
1,0,2,6,17
1,0,3,6,11
1,0,4,6,8
1,0,5,6,9
1,0,6,6,4
1,0,7,6,4
1,0,8,6,10
1,0,9,6,20
1,0,10,6,34
1,0,11,6,47
1,0,12,6,52
1,0,13,6,72
1,0,14,6,55
1,0,15,6,60
1,0,16,6,71
1,0,17,6,78
1,0,18,6,83
1,0,19,6,84
1,0,20,6,69
1,0,21,6,56
1,0,22,6,45
1,0,23,6,59
1,0,0,0,39
1,0,1,0,44
1,0,2,0,20
1,0,3,0,13
1,0,4,0,2
1,0,5,0,1
1,0,6,0,1
1,0,7,0,8
1,0,8,0,23
1,0,9,0,45
1,0,10,0,89
1,0,11,0,117
1,0,12,0,174
1,0,13,0,182
1,0,14,0,161
1,0,15,0,182
1,0,16,0,157
1,0,17,0,121
1,0,18,0,78
1,0,19,0,21
1,0,20,0,26
1,0,21,0,27
1,0,22,0,62
1,0,23,0,30
1,0,0,1,15
1,0,1,1,5
1,0,2,1,3
1,0,3,1,1
1,0,4,1,2
1,0,5,1,10
1,0,6,1,30
1,0,7,1,95
1,0,8,1,230
1,0,9,1,118
1,0,10,1,55
1,0,11,1,47
1,0,12,1,66
1,0,13,1,64
1,0,14,1,60
1,0,15,1,50
1,0,16,1,114
1,0,17,1,216
1,0,18,1,175
1,0,19,1,128
1,0,20,1,88
1,0,21,1,78
1,0,22,1,37
1,0,23,1,25
1,0,0,2,10
1,0,1,2,4
1,0,2,2,2
1,0,3,2,1
1,0,4,2,3
1,0,5,2,2
1,0,6,2,39
1,0,7,2,100
1,0,8,2,243
1,0,9,2,135
1,0,10,2,48
1,0,11,2,50
1,0,12,2,65
1,0,13,2,50
1,0,14,2,64
1,0,15,2,51
1,0,16,2,83
1,0,17,2,176
1,0,18,2,152
1,0,19,2,101
1,0,20,2,56
1,0,21,2,54
1,0,22,2,29
1,0,23,2,12
1,0,0,3,17
1,0,1,3,7
1,0,2,3,3
1,0,3,3,2
1,0,5,3,7
1,0,6,3,43
1,0,7,3,99
1,0,8,3,199
1,0,9,3,123
1,0,10,3,59
1,0,11,3,41
1,0,12,3,61
1,0,13,3,69
1,0,14,3,58
1,0,15,3,64
1,0,16,3,79
1,0,17,3,166
1,0,18,3,170
1,0,19,3,88
1,0,20,3,84
1,0,21,3,83
1,0,22,3,46
1,0,23,3,37
1,0,0,4,16
1,0,1,4,7
1,0,2,4,3
1,0,4,4,1
1,0,5,4,6
1,0,6,4,26
1,0,7,4,99
1,0,8,4,178
1,0,9,4,122
1,0,10,4,35
1,0,11,4,45
1,0,12,4,69
1,0,13,4,62
1,0,14,4,48
1,0,15,4,50
1,0,16,4,80
1,0,17,4,165
1,0,18,4,160
1,0,19,4,112
1,0,20,4,97
1,0,21,4,72
1,0,22,4,51
1,0,23,4,34
1,0,0,5,14
1,0,1,5,7
1,0,2,5,3
1,0,5,5,4
1,0,6,5,24
1,0,7,5,74
1,0,8,5,216
1,0,9,5,140
1,0,10,5,44
1,0,11,5,64
1,0,12,5,71
1,0,13,5,110
1,0,14,5,84
1,0,15,5,74
1,0,16,5,125
1,0,17,5,211
1,0,18,5,174
1,0,19,5,101
1,0,20,5,63
1,0,21,5,47
1,0,22,5,43
1,0,23,5,53
1,0,0,6,30
1,0,1,6,24
1,0,2,6,15
1,0,3,6,10
1,0,4,6,4
1,0,5,6,1
1,0,6,6,2
1,0,7,6,11
1,0,8,6,30
1,0,9,6,43
1,0,10,6,84
1,0,11,6,114
1,0,12,6,120
1,0,13,6,135
1,0,14,6,120
1,0,15,6,174
1,0,16,6,145
1,0,17,6,137
1,0,18,6,64
1,0,19,6,41
1,0,20,6,40
1,0,21,6,51
1,0,22,6,45
1,0,23,6,32
1,0,0,0,39
1,0,1,0,24
1,0,2,0,20
1,0,3,0,12
1,0,4,0,2
1,0,6,0,5
1,0,7,0,3
1,0,8,0,12
1,0,9,0,47
1,0,10,0,105
1,0,11,0,112
1,0,12,0,152
1,0,13,0,154
1,0,14,0,161
1,0,15,0,162
1,0,16,0,134
1,0,17,0,125
1,0,18,0,95
1,0,19,0,61
1,0,20,0,47
1,0,21,0,51
1,0,22,0,36
1,0,23,0,30
1,0,0,1,11
1,0,1,1,7
1,0,2,1,2
1,0,3,1,2
1,0,4,1,2
1,0,5,1,3
1,0,6,1,26
1,0,7,1,98
1,0,8,1,256
1,0,9,1,130
1,0,10,1,55
1,0,11,1,53
1,0,12,1,126
1,0,13,1,120
1,0,14,1,90
1,0,15,1,90
1,0,16,1,118
1,0,17,1,243
1,0,18,1,205
1,0,19,1,98
1,0,20,1,70
1,0,21,1,43
1,0,22,1,45
1,0,23,1,20
1,0,0,2,19
1,0,1,2,5
1,0,2,2,3
1,0,4,2,1
1,0,5,2,4
1,0,6,2,30
1,0,7,2,105
1,0,8,2,223
1,0,9,2,110
1,0,10,2,52
1,0,11,2,57
1,0,12,2,71
1,0,13,2,82
1,0,14,2,79
1,0,15,2,85
1,0,16,2,98
1,0,17,2,206
1,0,18,2,212
1,0,19,2,145
1,0,20,2,101
1,0,21,2,66
1,0,22,2,41
1,0,23,2,20
1,0,0,3,15
1,0,1,3,9
1,0,3,3,1
1,0,4,3,1
1,0,5,3,5
1,0,6,3,33
1,0,7,3,108
1,0,8,3,230
1,0,9,3,124
1,0,10,3,69
1,0,11,3,66
1,0,12,3,86
1,0,13,3,93
1,0,14,3,82
1,0,15,3,117
1,0,16,3,122
1,0,17,3,255
1,0,18,3,222
1,0,19,3,161
1,0,20,3,118
1,0,21,3,92
1,0,22,3,73
1,0,23,3,33
1,0,0,4,17
1,0,1,4,6
1,0,2,4,6
1,0,3,4,4
1,0,4,4,4
1,0,5,4,12
1,0,6,4,47
1,0,7,4,126
1,0,8,4,285
1,0,9,4,179
1,0,10,4,88
1,0,11,4,90
1,0,12,4,101
1,0,13,4,123
1,0,14,4,81
1,0,15,4,106
1,0,16,4,146
1,0,17,4,274
1,0,18,4,222
1,0,19,4,175
1,0,20,4,139
1,0,21,4,124
1,0,22,4,76
1,0,23,4,44
1,0,0,5,32
1,0,1,5,8
1,0,2,5,7
1,0,3,5,8
1,0,4,5,1
1,0,5,5,7
1,0,6,5,50
1,0,7,5,116
1,0,8,5,272
1,0,9,5,169
1,0,10,5,95
1,0,11,5,113
1,0,12,5,185
1,0,13,5,176
1,0,14,5,191
1,0,15,5,172
1,0,16,5,232
1,0,17,5,327
1,0,18,5,224
1,0,19,5,162
1,0,20,5,124
1,0,21,5,72
1,0,22,5,107
1,0,23,5,77
1,0,0,6,29
1,0,1,6,31
1,0,2,6,17
1,0,3,6,7
1,0,4,6,3
1,0,5,6,3
1,0,6,6,6
1,0,7,6,22
1,0,8,6,45
1,0,9,6,55
1,0,10,6,106
1,0,11,6,123
1,0,12,6,119
1,0,13,6,155
1,0,14,6,196
1,0,15,6,171
1,0,16,6,120
1,0,17,6,127
1,0,18,6,88
1,0,19,6,59
1,0,20,6,47
1,0,21,6,33
1,0,22,6,44
1,0,23,6,29
1,0,0,0,17
1,0,1,0,16
1,0,2,0,17
1,0,3,0,18
1,0,4,0,1
1,0,6,0,2
1,0,7,0,2
1,0,8,0,24
1,0,9,0,55
1,0,10,0,104
1,0,11,0,161
1,0,12,0,182
1,0,13,0,198
1,0,14,0,212
1,0,15,0,168
1,0,16,0,147
1,0,17,0,146
1,0,18,0,101
1,0,19,0,42
1,0,20,0,42
1,0,21,0,56
1,0,22,0,47
1,0,23,0,54
1,0,0,1,37
1,0,1,1,13
1,0,2,1,4
1,0,3,1,5
1,0,4,1,1
1,0,5,1,3
1,0,6,1,8
1,0,7,1,19
1,0,8,1,63
1,0,9,1,57
1,0,10,1,81
1,0,11,1,90
1,0,12,1,93
1,0,13,1,103
1,0,14,1,116
1,0,15,1,87
1,0,16,1,56
1,0,17,1,80
1,0,18,1,66
1,0,19,1,49
1,0,20,1,29
1,0,21,1,34
1,0,22,1,11
1,0,23,1,2
1,0,6,2,7
1,0,7,2,40
1,0,8,2,114
1,0,9,2,106
1,0,10,2,44
1,0,11,2,50
1,0,12,2,55
1,0,13,2,55
1,0,14,2,58
1,0,15,2,69
1,0,16,2,86
1,0,17,2,196
1,0,18,2,167
1,0,19,2,118
1,0,20,2,105
1,0,21,2,82
1,0,22,2,77
1,0,23,2,21
1,0,0,3,6
1,0,1,3,4
1,0,2,3,1
1,0,3,3,2
1,0,5,3,8
1,0,6,3,36
1,0,7,3,96
1,0,8,3,235
1,0,9,3,139
1,0,10,3,51
1,0,11,3,69
1,0,12,3,67
1,0,13,3,87
1,0,14,3,78
1,0,15,3,72
1,0,16,3,94
1,0,17,3,222
1,0,18,3,209
1,0,19,3,141
1,0,20,3,109
1,0,21,3,91
1,0,22,3,61
1,0,23,3,39
1,0,0,4,11
1,0,1,4,7
1,0,2,4,4
1,0,3,4,2
1,0,5,4,4
1,0,6,4,58
1,0,7,4,104
1,0,8,4,252
1,0,9,4,137
1,0,10,4,57
1,0,11,4,79
1,0,12,4,95
1,0,13,4,88
1,0,14,4,69
1,0,15,4,63
1,0,16,4,71
1,0,17,4,177
1,0,18,4,137
1,0,19,4,115
1,0,20,4,89
1,0,21,4,83
1,0,22,4,55
1,0,23,4,50
1,0,0,5,9
1,0,1,5,10
1,0,2,5,3
1,0,3,5,2
1,0,5,5,6
1,0,6,5,11
1,0,7,5,35
1,0,8,5,73
1,0,9,5,114
1,0,10,5,49
1,0,11,5,59
1,0,12,5,115
1,0,13,5,83
1,0,14,5,85
1,0,15,5,55
1,0,16,5,102
1,0,17,5,189
1,0,18,5,157
1,0,19,5,90
1,0,20,5,62
1,0,21,5,63
1,0,22,5,50
1,0,23,5,39
1,0,0,6,28
1,0,1,6,27
1,0,2,6,12
1,0,3,6,8
1,0,4,6,2
1,0,5,6,10
1,0,6,6,7
1,0,7,6,22
1,0,8,6,57
1,0,9,6,74
1,0,10,6,85
1,0,11,6,126
1,0,12,6,160
1,0,13,6,174
1,0,14,6,211
1,0,15,6,165
1,0,16,6,171
1,0,17,6,183
1,0,18,6,137
1,0,19,6,94
1,0,20,6,68
1,0,21,6,68
1,0,22,6,46
1,0,23,6,34
1,0,0,0,34
1,0,1,0,37
1,0,2,0,22
1,0,3,0,11
1,0,4,0,2
1,0,6,0,3
1,0,7,0,14
1,0,8,0,35
1,0,9,0,59
1,0,10,0,103
1,0,11,0,125
1,0,12,0,193
1,0,13,0,259
1,0,14,0,282
1,0,15,0,261
1,0,16,0,268
1,0,17,0,187
1,0,18,0,127
1,0,19,0,102
1,0,20,0,81
1,0,21,0,69
1,0,22,0,69
1,0,23,0,59
1,0,0,1,30
1,0,1,1,8
1,0,3,1,1
1,0,5,1,5
1,0,6,1,28
1,0,7,1,92
1,0,8,1,255
1,0,9,1,142
1,0,10,1,92
1,0,11,1,87
1,0,12,1,36
1,0,13,1,32
1,0,14,1,25
1,0,15,1,35
1,0,16,1,42
1,0,17,1,79
1,0,18,1,131
1,0,19,1,80
1,0,20,1,45
1,0,21,1,80
1,0,22,1,76
1,0,23,1,45
1,0,0,2,7
1,0,1,2,3
1,0,2,2,4
1,0,3,2,2
1,0,4,2,1
1,0,5,2,2
1,0,6,2,46
1,0,7,2,107
1,0,8,2,214
1,0,9,2,124
1,0,10,2,68
1,0,11,2,56
1,0,12,2,86
1,0,13,2,78
1,0,14,2,79
1,0,15,2,64
1,0,16,2,102
1,0,17,2,242
1,0,18,2,224
1,0,19,2,119
1,0,20,2,88
1,0,21,2,63
1,0,22,2,47
1,0,23,2,25
1,0,0,3,8
1,0,1,3,4
1,0,2,3,2
1,0,3,3,4
1,0,4,3,1
1,0,5,3,5
1,0,6,3,40
1,0,7,3,110
1,0,8,3,256
1,0,9,3,148
1,0,10,3,76
1,0,11,3,73
1,0,12,3,82
1,0,13,3,125
1,0,14,3,96
1,0,15,3,110
1,0,16,3,139
1,0,17,3,268
1,0,18,3,201
1,0,19,3,150
1,0,20,3,95
1,0,21,3,71
1,0,22,3,48
1,0,23,3,22
1,0,0,4,13
1,0,1,4,1
1,0,2,4,3
1,0,3,4,1
1,0,4,4,1
1,0,5,4,8
1,0,6,4,35
1,0,7,4,111
1,0,8,4,220
1,0,9,4,145
1,0,10,4,56
1,0,11,4,50
